station_index,latitude,longitude,date_time,time_zone,aqi,city_name,city_url,dominant_pollution,pollution_co,pollution_dew,pollution_h,pollution_o3,pollution_p,pollution_pm10,pollution_pm25,pollution_r,pollution_so2,pollution_t
1244,37.8195,112.57,2019-10-06 13:00:00,+08:00,76,https://aqicn.org/city/china/taiyuan/wucheng,,pm25,8.2,,,6.1,,51,76,,3.6,
1245,37.9854,112.549,2019-10-06 13:00:00,+08:00,91,https://aqicn.org/city/china/taiyuan/nanzhai,,pm25,5.5,,,6.1,,42,91,,5.6,
1246,37.7805,112.488,2019-10-06 13:00:00,+08:00,37,https://aqicn.org/city/china/taiyuan/jinsheng,,pm10,8.2,,,6.5,,37,87,,4.1,
1247,41.9339,123.6836,,+08:00,-,http://aqicn.org/city/china/shenyang/huishan/,,,,,62,,1004,,,,,4
1248,41.7561,123.535,,+08:00,-,http://aqicn.org/city/china/shenyang/hunnaner/,,,,,62,,1004,,,,,4
1249,41.7089,123.439,2019-10-06 13:00:00,+08:00,70,https://aqicn.org/city/china/shenyang/dongruan,,pm25,3.7,,,22,,36,70,,7.6,
1250,41.7694,123.284,,+08:00,-,http://aqicn.org/city/china/shenyang/zhangshi/,,,,,62,,1004,,,,,4
1251,123.542,41.8336,,+08:00,-,http://aqicn.org/city/china/shenyang/paobingxueyuan/,,,,,62,,1004,,,,,4
1252,123.428,41.8472,,+08:00,-,http://aqicn.org/city/china/shenyang/beiling/,,,,,62,,1004,,,,,4
1253,41.765,123.41,,+08:00,-,http://aqicn.org/city/china/shenyang/wenyilu/,,,,,62,,1004,,,,,4
1254,41.7775,123.478,2019-10-06 13:00:00,+08:00,82,https://aqicn.org/city/china/shenyang/xiaoheyan,,pm25,6.4,,,16.3,,51,82,,9.2,
1255,41.7972,123.3997,2019-10-06 13:00:00,+08:00,114,https://aqicn.org/city/china/shenyang/taiyuanjie,,pm25,6.4,,,11.8,,56,114,,9.7,
1256,41.7806,123.3606,,+08:00,-,http://aqicn.org/city/china/shenyang/ermao/,,,,,62,,1004,,,,,4
1257,41.9228,123.3783,2019-10-06 13:00:00,+08:00,85,https://aqicn.org/city/china/shenyang/liaoda,,pm25,9.1,,,10.2,,60,85,,14.2,
1258,38.973888889,121.61194444,2019-10-06 13:00:00,+08:00,30,https://aqicn.org/city/china/dalian/ganjingzi,,pm25,2.4,,,24.8,,23,30,,3.1,
1259,38.951111111,121.565,2019-10-06 12:00:00,+08:00,38,https://aqicn.org/city/china/dalian/zhoushuizi,,pm25,2.8,,,29.3,,20,38,,3.1,
1260,38.885,121.56388889,2019-10-06 13:00:00,+08:00,33,https://aqicn.org/city/china/dalian/xinghaisanzhan,,o3,3.7,,,33.3,,14,17,,2.6,
1261,38.911944444,121.63305556,2019-10-06 13:00:00,+08:00,26,https://aqicn.org/city/china/dalian/qingniwaqiao,,o3,3.2,,,26.4,,20,25,,3.6,
1262,38.863888889,121.625,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/china/dalian/fujiazhuang,,pm25,3.7,,,26.4,,19,42,,4.1,
1263,38.856111111,121.51805556,2019-10-06 13:00:00,+08:00,35,https://aqicn.org/city/china/dalian/qixianling,,o3,3.7,,,34.6,,22,21,,3.1,
1264,38.808055556,121.25888889,2019-10-06 13:00:00,+08:00,38,https://aqicn.org/city/china/dalian/lvshun,,pm25,5.4,,,33.3,,24,38,,5.1,
1265,39.1311,121.7481,2019-10-06 13:00:00,+08:00,34,https://aqicn.org/city/china/dalian/jinzhou,,pm25,1,,,28.9,,16,34,,3.6,
1266,39.0511,121.7769,2019-10-06 13:00:00,+08:00,31,https://aqicn.org/city/china/dalian/kaifaqu,,o3,2.8,,,30.9,,16,25,,4.6,
1267,39.0631,121.9769,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/china/dalian/shuangdgang,,pm25,6.7,,,36.2,,26,42,,4.6,
1268,43.9167,125.323,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/china/changchun/shipinchang,,pm25,3.7,,,25.6,,23,42,,3.1,
1269,43.91,125.287,2019-10-06 13:00:00,+08:00,28,https://aqicn.org/city/china/changchun/kechechang,,o3,2.8,,,28.1,,19,25,,2.6,
1270,43.84,125.2786,2019-10-06 13:00:00,+08:00,34,https://aqicn.org/city/china/changchun/youdianxueyuan,,pm25,2.8,,25,25.2,996.5,21,34,0.2,2.6,13.7
1271,43.8748,125.3649,2019-10-06 13:00:00,+08:00,34,https://aqicn.org/city/china/changchun/laodonggongyuan,,pm25,3.7,,,27.3,,19,34,,4.1,
1272,43.8694,125.325,2019-10-06 13:00:00,+08:00,30,https://aqicn.org/city/china/changchun/yuanlinchu,,pm25,1.9,,,28.1,,11,30,,3.1,
1273,43.7878,125.454,2019-10-06 13:00:00,+08:00,29,https://aqicn.org/city/china/changchun/jingyuetan,,o3,4.6,,,29.3,,18,21,,1.6,
1274,43.55,125.633,2019-10-06 13:00:00,+08:00,34,https://aqicn.org/city/china/changchun/shuaiwanzi,,o3,2.8,,,34.2,,20,25,,2.1,
1275,43.8667,125.417,2019-10-06 13:00:00,+08:00,34,https://aqicn.org/city/china/changchun/jingkaiquhuanweichu,,pm25,2.8,,,28.9,,15,34,,2.6,
1276,43.8167,125.25,2019-10-06 13:00:00,+08:00,30,https://aqicn.org/city/china/changchun/gaoxinquguanweihui,,o3,3.7,,25,29.7,996.5,20,25,0.2,2.1,13.7
1277,43.85,125.217,2019-10-06 13:00:00,+08:00,30,https://aqicn.org/city/china/changchun/daishangongyuan,,o3,1.9,,25,29.7,996.5,14,17,0.2,2.6,13.7
1278,45.755,126.542,2019-10-06 12:00:00,+08:00,42,https://aqicn.org/city/china/haerbin/lingbei,,pm25,3.2,,,,,38,42,,4.1,
1279,45.8167,126.561,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/china/haerbin/songbeishangda,,pm25,2.8,,,28.1,,34,42,,3.6,
1280,45.5422,126.979,2019-10-06 13:00:00,+08:00,53,https://aqicn.org/city/china/haerbin/achenghuining,,pm25,1.9,-4.3,26,32.5,1008.4,30,53,,5.6,15.1
1281,45.7222,126.599,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/china/haerbin/nangangxuefulu,,pm25,4.6,,,30.9,,28,42,,1.6,
1282,45.7733,126.689,2019-10-06 13:00:00,+08:00,37,https://aqicn.org/city/china/haerbin/taipinghongweigongyuan,,pm10,5.5,-4.3,26,28.9,1008.4,37,34,,3.6,15.1
1283,45.7667,126.635,2019-10-06 13:00:00,+08:00,48,https://aqicn.org/city/china/haerbin/daowaichengdeguangchang,,pm10,6.4,-4.3,26,28.5,1008.4,48,30,,3.6,15.1
1284,45.7319,126.685,2019-10-06 13:00:00,+08:00,51,https://aqicn.org/city/china/haerbin/xiangfanghongqidajie,,pm10,2.8,-4.3,26,26.4,1008.4,51,50,,6.1,15.1
1285,45.7258,126.646,2019-10-06 13:00:00,+08:00,50,https://aqicn.org/city/china/haerbin/donglihepinglu,,pm25,3.7,-4.3,26,32.5,1008.4,36,50,,2.6,15.1
1286,45.7478,126.593,2019-10-06 13:00:00,+08:00,59,https://aqicn.org/city/china/haerbin/daolijianguolu,,pm25,3.7,,,26.4,,53,59,,3.1,
